param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,k,ID
0.17572,1.4995,0.01018,1.72306,0.93697,1.13985,1.58086,1.52759,2.40735,1.7839,1.27612,0.48686,0.11143,0.72229,0.00205,0.00094,1.11273,1.55845,0.01804,0.05924,43
0.20283,2.22252,0.02597,2.31863,1.14728,1.75256,1.38518,0.75248,1.73184,1.55119,1.37552,0.46847,0.2601,0.66035,0.00593,0.01215,1.32356,1.45047,0.02416,0.02247,44
0.25736,1.79835,0.1796,1.87099,1.32832,1.72263,0.73619,1.98717,1.73963,1.56871,0.97893,0.56944,0.01377,0.63956,0.00103,0.00043,1.57649,1.34788,0.06938,0.02688,45
0.32708,1.63346,0.00034,1.63641,0.99372,1.66873,1.11426,1.74976,2.15249,1.17547,1.3487,0.48708,0.15719,0.73679,0.0008,3e-05,1.3773,0.99012,0.02666,0.00527,46
0.35098,1.78845,0.02273,2.37975,1.45535,1.66114,0.38079,1.57734,1.23086,1.10923,1.34745,0.47617,0.09721,0.81833,0.0087,0.00077,1.95588,0.93214,0.00808,0.05938,47
0.10257,1.51023,0.0,2.23403,1.37729,1.62045,0.39854,2.09714,2.18497,1.74033,1.2083,0.56012,0.21342,0.63708,0.00815,0.00035,2.25823,2.20731,0.08147,0.05085,48
0.15461,0.91492,0.03468,1.45905,0.82086,1.73713,0.12266,1.68864,1.76788,1.44089,1.42514,0.44342,0.03693,0.92924,0.03634,0.00039,1.56127,2.11194,0.01477,0.04797,49
0.23393,1.99729,0.00766,2.32796,1.54782,0.8838,0.58102,1.24693,0.84772,0.76965,1.24274,0.48269,0.04664,0.80948,0.01528,0.00019,1.93122,0.58979,0.02643,0.07164,50
0.16684,1.29145,0.07391,1.55239,1.14968,1.48256,0.3058,1.76815,1.3954,0.93825,1.49529,0.43514,0.14339,0.7942,2e-05,0.00054,1.88504,1.01308,0.00616,0.01274,51
0.0852,2.15994,0.007,1.891,1.85543,1.616,1.28039,2.64372,2.2685,1.74916,1.34621,0.43442,0.06098,0.83979,0.0178,0.00268,2.2897,1.0776,0.00894,0.01879,52
0.34033,1.83501,0.00056,1.77139,1.53453,1.74613,1.19706,2.36029,2.35388,1.61219,1.23157,0.47881,0.04629,0.78542,0.00012,0.00185,2.03823,1.24559,0.00067,0.00937,53
0.18481,1.21338,0.09234,1.91696,1.09298,1.94794,0.0028,1.75176,1.53245,1.38118,1.13296,0.53646,0.00497,0.87699,0.05906,0.00519,1.9676,1.82774,0.05281,0.0445,54
0.15952,1.4172,0.03556,1.77507,1.3499,1.4543,0.53807,2.29952,2.16899,1.6059,1.22481,0.49628,0.05002,0.74492,0.00311,0.00021,2.06847,1.86736,0.03718,0.03195,55
0.21665,1.72409,0.00074,1.77132,1.39225,1.07571,0.86128,1.04407,1.25262,1.25344,1.23867,0.5284,0.17064,0.7231,0.00188,0.0,2.01277,1.5104,0.04276,0.00554,56
0.05394,2.23956,0.08836,2.37445,1.9179,2.74702,0.28245,2.05651,1.85823,2.03647,1.06593,0.53404,0.0202,0.67233,1e-05,0.0039,2.63748,2.14515,0.0461,0.01976,57
0.32003,1.34632,0.0117,1.81813,1.27092,1.00314,0.98242,1.94865,2.14763,1.72566,1.11098,0.51142,0.0015,0.93542,0.07563,0.0,1.85761,1.93778,0.05474,0.07813,58
0.3448,1.71031,0.01608,2.12809,0.71774,1.40523,1.31667,1.55036,2.2075,0.91601,1.32905,0.45283,0.01433,0.80504,0.04091,0.01683,0.87917,0.56811,0.02183,0.07113,59
